alias,term
"abdomen, acute","abdomen, acute"
"abdomens, acute","abdomen, acute"
acute abdomen,"abdomen, acute"
acute abdomens,"abdomen, acute"
abdominal injuries,abdominal injuries
"injuries, abdominal",abdominal injuries
abdominal injury,abdominal injuries
"injury, abdominal",abdominal injuries
abdominal neoplasms,abdominal neoplasms
abdominal neoplasm,abdominal neoplasms
"neoplasm, abdominal",abdominal neoplasms
"neoplasms, abdominal",abdominal neoplasms
abetalipoproteinemia,abetalipoproteinemia
microsomal triglyceride transfer protein deficiency disease,abetalipoproteinemia
acanthocytosis,abetalipoproteinemia
acanthocytoses,abetalipoproteinemia
microsomal triglyceride transfer protein deficiency,abetalipoproteinemia
betalipoprotein deficiency disease,abetalipoproteinemia
betalipoprotein deficiency diseases,abetalipoproteinemia
"deficiency disease, betalipoprotein",abetalipoproteinemia
"deficiency diseases, betalipoprotein",abetalipoproteinemia
"disease, betalipoprotein deficiency",abetalipoproteinemia
"diseases, betalipoprotein deficiency",abetalipoproteinemia
bassen-kornzweig syndrome,abetalipoproteinemia
bassen kornzweig syndrome,abetalipoproteinemia
bassen-kornzweig disease,abetalipoproteinemia
bassen kornzweig disease,abetalipoproteinemia
congenital abnormalities,congenital abnormalities
"abnormality, congenital",congenital abnormalities
congenital abnormality,congenital abnormalities
deformities,congenital abnormalities
deformity,congenital abnormalities
congenital defects,congenital abnormalities
congenital defect,congenital abnormalities
"defect, congenital",congenital abnormalities
"defects, congenital",congenital abnormalities
"abnormalities, congenital",congenital abnormalities
birth defects,congenital abnormalities
birth defect,congenital abnormalities
"defect, birth",congenital abnormalities
fetal malformations,congenital abnormalities
fetal malformation,congenital abnormalities
"malformation, fetal",congenital abnormalities
fetal anomalies,congenital abnormalities
"anomaly, fetal",congenital abnormalities
fetal anomaly,congenital abnormalities
"abnormalities, drug-induced","abnormalities, drug-induced"
"abnormalities, drug induced","abnormalities, drug-induced"
drug-induced abnormalities,"abnormalities, drug-induced"
"abnormality, drug-induced","abnormalities, drug-induced"
drug induced abnormalities,"abnormalities, drug-induced"
drug-induced abnormality,"abnormalities, drug-induced"
"abnormalities, multiple","abnormalities, multiple"
multiple abnormalities,"abnormalities, multiple"
"abnormalities, radiation-induced","abnormalities, radiation-induced"
"abnormalities, radiation induced","abnormalities, radiation-induced"
radiation-induced abnormalities,"abnormalities, radiation-induced"
"abnormality, radiation-induced","abnormalities, radiation-induced"
radiation induced abnormalities,"abnormalities, radiation-induced"
radiation-induced abnormality,"abnormalities, radiation-induced"
"abortion, spontaneous","abortion, spontaneous"
"abortions, spontaneous","abortion, spontaneous"
spontaneous abortions,"abortion, spontaneous"
spontaneous abortion,"abortion, spontaneous"
early pregnancy loss,"abortion, spontaneous"
early pregnancy losses,"abortion, spontaneous"
"loss, early pregnancy","abortion, spontaneous"
"losses, early pregnancy","abortion, spontaneous"
"pregnancy loss, early","abortion, spontaneous"
"pregnancy losses, early","abortion, spontaneous"
miscarriage,"abortion, spontaneous"
miscarriages,"abortion, spontaneous"
"abortion, tubal","abortion, spontaneous"
"abortions, tubal","abortion, spontaneous"
tubal abortion,"abortion, spontaneous"
tubal abortions,"abortion, spontaneous"
"abortion, habitual","abortion, habitual"
habitual abortion,"abortion, habitual"
habitual abortions,"abortion, habitual"
"abortion, recurrent","abortion, habitual"
recurrent abortion,"abortion, habitual"
recurrent abortions,"abortion, habitual"
"miscarriage, recurrent","abortion, habitual"
recurrent miscarriage,"abortion, habitual"
recurrent miscarriages,"abortion, habitual"
recurrent early pregnancy loss,"abortion, habitual"
"abortion, incomplete","abortion, incomplete"
"abortions, incomplete","abortion, incomplete"
incomplete abortion,"abortion, incomplete"
incomplete abortions,"abortion, incomplete"
"abortion, missed","abortion, missed"
"abortions, missed","abortion, missed"
missed abortion,"abortion, missed"
missed abortions,"abortion, missed"
"abortion, septic","abortion, septic"
"abortions, septic","abortion, septic"
septic abortions,"abortion, septic"
septic abortion,"abortion, septic"
"abortion, threatened","abortion, threatened"
threatened abortion,"abortion, threatened"
threatened abortions,"abortion, threatened"
threatened miscarriage,"abortion, threatened"
"miscarriage, threatened","abortion, threatened"
threatened miscarriages,"abortion, threatened"
"abortion, veterinary","abortion, veterinary"
veterinary abortion,"abortion, veterinary"
"abortions, veterinary","abortion, veterinary"
veterinary abortions,"abortion, veterinary"
abruptio placentae,abruptio placentae
placental abruption,abruptio placentae
"abruption, placental",abruptio placentae
"abruptions, placental",abruptio placentae
placental abruptions,abruptio placentae
abscess,abscess
abscesses,abscess
peritonsillar abscess,peritonsillar abscess
"abscesses, peritonsillar",peritonsillar abscess
peritonsillar abscesses,peritonsillar abscess
"abscess, peritonsillar",peritonsillar abscess
acantholysis,acantholysis
acantholyses,acantholysis
acanthosis nigricans,acanthosis nigricans
acanthosis nigrican,acanthosis nigricans
"nigrican, acanthosis",acanthosis nigricans
"nigricans, acanthosis",acanthosis nigricans
severe acute malnutrition,severe acute malnutrition
"acute malnutrition, severe",severe acute malnutrition
"malnutrition, severe acute",severe acute malnutrition
shellfish hypersensitivity,shellfish hypersensitivity
"hypersensitivities, shellfish",shellfish hypersensitivity
"hypersensitivity, shellfish",shellfish hypersensitivity
shellfish hypersensitivities,shellfish hypersensitivity
shellfish allergy,shellfish hypersensitivity
"allergies, shellfish",shellfish hypersensitivity
"allergy, shellfish",shellfish hypersensitivity
shellfish allergies,shellfish hypersensitivity
symptom flare up,symptom flare up
"flare up, symptom",symptom flare up
"flare ups, symptom",symptom flare up
symptom flare ups,symptom flare up
symptom flaring up,symptom flare up
"flaring up, symptom",symptom flare up
acute symptom flare,symptom flare up
acute symptom flares,symptom flare up
"symptom flare, acute",symptom flare up
symptom flareup,symptom flare up
"flareup, symptom",symptom flare up
"flareups, symptom",symptom flare up
symptom flareups,symptom flare up
symptom flare-up,symptom flare up
"flare-up, symptom",symptom flare up
"flare-ups, symptom",symptom flare up
symptom flare-ups,symptom flare up
symptom exacerbation,symptom flare up
"exacerbation, symptom",symptom flare up
symptom exacerbations,symptom flare up
symptom increase,symptom flare up
"increase, symptom",symptom flare up
symptom magnification,symptom flare up
"magnification, symptom",symptom flare up
symptom magnifications,symptom flare up
symptom worsening,symptom flare up
"worsening, symptom",symptom flare up
symptom exaggeration,symptom flare up
"exaggeration, symptom",symptom flare up
symptom exaggerations,symptom flare up
"obesity, metabolically benign","obesity, metabolically benign"
"benign obesity, metabolically","obesity, metabolically benign"
metabolically benign obesity,"obesity, metabolically benign"
metabolically healthy obesity,"obesity, metabolically benign"
"healthy obesity, metabolically","obesity, metabolically benign"
"obesity, metabolically healthy","obesity, metabolically benign"
cold injury,cold injury
cold injuries,cold injury
"injuries, cold",cold injury
"injury, cold",cold injury
war-related injuries,war-related injuries
"injuries, war-related",war-related injuries
"injury, war-related",war-related injuries
war related injuries,war-related injuries
war-related injury,war-related injuries
war-related trauma,war-related injuries
"trauma, war-related",war-related injuries
war related trauma,war-related injuries
late onset disorders,late onset disorders
"disorder, late onset",late onset disorders
"disorders, late onset",late onset disorders
late onset disorder,late onset disorders
"onset disorder, late",late onset disorders
"onset disorders, late",late onset disorders
later onset disorders,late onset disorders
"disorder, later onset",late onset disorders
"disorders, later onset",late onset disorders
later onset disorder,late onset disorders
"onset disorder, later",late onset disorders
"onset disorders, later",late onset disorders
late-onset disorders,late onset disorders
"disorder, late-onset",late onset disorders
"disorders, late-onset",late onset disorders
late-onset disorder,late onset disorders
late onset diseases,late onset disorders
"disease, late onset",late onset disorders
"diseases, late onset",late onset disorders
late onset disease,late onset disorders
"onset disease, late",late onset disorders
"onset diseases, late",late onset disorders
compassion fatigue,compassion fatigue
"fatigue, compassion",compassion fatigue
vicarious trauma,compassion fatigue
"trauma, vicarious",compassion fatigue
"traumas, vicarious",compassion fatigue
vicarious traumas,compassion fatigue
secondary trauma,compassion fatigue
secondary traumas,compassion fatigue
"trauma, secondary",compassion fatigue
"traumas, secondary",compassion fatigue
secondary traumatization,compassion fatigue
secondary traumatizations,compassion fatigue
"traumatization, secondary",compassion fatigue
"traumatizations, secondary",compassion fatigue
secondary traumatic stress,compassion fatigue
"stress, secondary traumatic",compassion fatigue
"stresses, secondary traumatic",compassion fatigue
"traumatic stress, secondary",compassion fatigue
vicarious traumatization,compassion fatigue
"traumatization, vicarious",compassion fatigue
"fractures, multiple","fractures, multiple"
"fracture, multiple","fractures, multiple"
multiple fracture,"fractures, multiple"
multiple fractures,"fractures, multiple"
drug resistant epilepsy,drug resistant epilepsy
drug resistant epilepsies,drug resistant epilepsy
"epilepsies, drug resistant",drug resistant epilepsy
"resistant epilepsies, drug",drug resistant epilepsy
"resistant epilepsy, drug",drug resistant epilepsy
"epilepsy, drug resistant",drug resistant epilepsy
medication resistant epilepsy,drug resistant epilepsy
"epilepsies, medication resistant",drug resistant epilepsy
"epilepsy, medication resistant",drug resistant epilepsy
medication resistant epilepsies,drug resistant epilepsy
"resistant epilepsies, medication",drug resistant epilepsy
"resistant epilepsy, medication",drug resistant epilepsy
intractable epilepsy,drug resistant epilepsy
"epilepsies, intractable",drug resistant epilepsy
intractable epilepsies,drug resistant epilepsy
"epilepsy, drug refractory",drug resistant epilepsy
"epilepsy, intractable",drug resistant epilepsy
refractory epilepsy,drug resistant epilepsy
"epilepsies, refractory",drug resistant epilepsy
"epilepsy, refractory",drug resistant epilepsy
refractory epilepsies,drug resistant epilepsy
