term,code
"abdomen, acute",C23.888.592.612.054.200
abdominal injuries,C26.017
abdominal neoplasms,C04.588.033
abetalipoproteinemia,C16.320.565.398.500.440.500
congenital abnormalities,C16.131
"abnormalities, drug-induced",C16.131.042
"abnormalities, multiple",C16.131.077
"abnormalities, radiation-induced",C16.131.080
"abortion, spontaneous",C12.050.703.039
"abortion, habitual",C12.050.703.039.089
"abortion, incomplete",C12.050.703.039.093
"abortion, missed",C12.050.703.039.173
"abortion, septic",C01.674.173
"abortion, threatened",C12.050.703.090
"abortion, veterinary",C12.050.703.039.422
abruptio placentae,C12.050.703.420.078
abscess,C01.830.025
peritonsillar abscess,C01.748.561.750.500
acantholysis,C17.800.865.070
acanthosis nigricans,C17.800.621.430.530.100
severe acute malnutrition,C18.654.521.719
shellfish hypersensitivity,C20.543.480.370.763
symptom flare up,C23.550.291.937.500
"obesity, metabolically benign",C18.654.726.750.500.650
cold injury,C26.212
war-related injuries,C26.946
late onset disorders,C23.550.291.883
compassion fatigue,C23.888.369.500.500
"fractures, multiple",C26.404.280
drug resistant epilepsy,C10.228.140.490.125
autoimmune hypophysitis,C10.228.140.617.738.275.500
canaliculitis,C11.496.221.500
incisional hernia,C23.300.707.945
plasmablastic lymphoma,C04.557.386.480.150.585.500
mammary analogue secretory carcinoma,C04.557.470.200.588
acne conglobata,C17.800.030.150.500
fused kidney,C12.050.351.875.420
long term adverse effects,C23.550.543
infectious encephalitis,C01.207.399
waterborne diseases,C01.936
unilateral breast neoplasms,C04.588.180.800
degloving injuries,C26.808.500
staghorn calculi,C12.050.351.968.419.600.500.500
talipes,C05.330.488.655
talipes cavus,C05.330.488.655.500
metatarsal valgus,C05.330.663
metatarsus varus,C05.330.711
anterior cruciate ligament injuries,C26.558.554.213
shoulder injuries,C26.803
tibial meniscus injuries,C26.558.781
coxa magna,C05.116.296
tarsal coalition,C05.116.099.370.894.909
morton neuroma,C05.360.500.500
"microtrauma, physical",C26.599
brain contusion,C10.228.140.199.444.375
"brain injuries, diffuse",C10.228.140.199.388
chronic traumatic encephalopathy,C10.228.140.199.444.500
"diastasis, muscle",C05.550.518.288
"diastasis, bone",C05.550.518.192
rotator cuff injuries,C26.761.340
elbow tendinopathy,C05.651.869.435
"brain injuries, traumatic",C10.228.140.199.444
rotator cuff tear arthropathy,C05.550.114.264.500
crystal arthropathies,C05.550.354
enthesopathy,C05.651.869.653
giant cell tumor of tendon sheath,C04.557.450.565.380.690
bankart lesions,C26.404.625.500
hyperekplexia,C10.228.590
anorectal malformations,C06.198.025
tardive dyskinesia,C10.228.662.262.500.500
"alert fatigue, health personnel",C23.888.369.500.250
"pneumonia, necrotizing",C01.748.610.608
multiple chronic conditions,C23.550.291.500.500
familial multiple lipomatosis,C16.320.298
microaneurysm,C14.907.055.817
acute febrile encephalopathy,C10.228.140.021
neonatal sepsis,C01.757.580
small fiber neuropathy,C10.668.829.860
"stenosis, pulmonary vein",C14.907.798
"stenosis, pulmonary artery",C14.907.137.825
zika virus infection,C01.920.500.990
emergence delirium,C10.597.606.337.500.500
acute retroviral syndrome,C01.221.250.875.044
body remains,C23.550.260.127
bunion,C05.330.488.050
"fibromatosis, plantar",C04.557.450.565.590.340.705
"fractures, avulsion",C26.404.038
crush injuries,C26.257
cellulite,C23.888.885.281
latent autoimmune diabetes in adults,C18.452.394.750.714
bilateral vestibulopathy,C09.218.568.900.442
cone-rod dystrophies,C11.270.152
medically unexplained symptoms,C23.888.541
myocardial contusions,C26.891.375.750
breast carcinoma in situ,C04.557.470.200.240.187
fracture dislocation,C05.550.518.336
salter-harris fractures,C05.550.518.336.875
lymphadenopathy,C15.604.338
breast cancer lymphedema,C15.604.496.160
st elevation myocardial infarction,C14.280.647.500.875
non-st elevated myocardial infarction,C14.280.647.500.469
hypophysitis,C10.228.140.617.738.275
teratozoospermia,C12.100.500.430.877
ciliopathies,C16.131.077.245
spontaneous perforation,C23.300.940
ankyloglossia,C07.160
cancer pain,C23.888.592.612.212
propofol infusion syndrome,C25.100.844
invasive fungal infections,C01.150.703.492
surgical wound,C26.859
chromothripsis,C23.550.210.310
noncommunicable diseases,C23.550.291.898
epileptic syndromes,C10.228.140.490.493
occupational stress,C24.580
microvascular rarefaction,C23.300.818
frailty,C23.550.359
spotted fever group rickettsiosis,C01.150.252.400.789.725.400
transfusion-related acute lung injury,C08.381.520.500.500
varicella zoster virus infection,C01.925.256.466.930
"pain, procedural",C23.888.592.612.860
trisomy 13 syndrome,C10.597.606.360.835
trisomy 18 syndrome,C14.240.400.975
vascular ring,C14.240.850.992
food intolerance,C23.888.821.387
tubular sweat gland adenomas,C04.557.470.035.175.900
interatrial block,C14.280.067.558.430
cerebral intraventricular hemorrhage,C10.228.140.300.535.200.600
undifferentiated connective tissue diseases,C17.300.849
meconium ileus,C06.405.469.531.788
opium dependence,C25.775.643.500.800
oncogene addiction,C04.697.850
median arcuate ligament syndrome,C06.198.929
nut and peanut hypersensitivity,C20.543.480.370.572
